content,score,at,case_folding,cleaning,tokenization,stopword_removal,stemming,clean_review,sentiment
apasih baru download bikin akun aja harus berbayar apk ga guna,1,2026-05-16 16:29:11,apasih baru download bikin akun aja harus berbayar apk ga guna,apasih baru download bikin akun aja harus berbayar apk ga guna,"['apasih', 'baru', 'download', 'bikin', 'akun', 'aja', 'harus', 'berbayar', 'apk', 'ga', 'guna']","['apasih', 'download', 'bikin', 'akun', 'aja', 'berbayar', 'apk', 'ga']","['apasih', 'download', 'bikin', 'akun', 'aja', 'bayar', 'apk', 'ga']",apasih download bikin akun aja bayar apk ga,Netral
mantap,5,2026-05-16 15:41:53,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap,Netral
"Saya merasakan kurang menikmati penggunaan aplikasi ini. Ketika saya ingin melihat film ada kendala teknis, padahal jaringan saya lancar dan tidak ada masalah kerusakan dalam handphone saya. Saya tidak suka atas kekurangan aplikasi anda, membuang uang saya hanya karena ini. Saya berlangganan dengan uang saya dan ingin mendapatkan hiburan film dari aplikasi anda. Tolong diperhatikan hal ini, jangan sampai aplikasi anda mendapatkan respon yang lebih buruk. Terimakasih",2,2026-05-16 15:41:35,"saya merasakan kurang menikmati penggunaan aplikasi ini. ketika saya ingin melihat film ada kendala teknis, padahal jaringan saya lancar dan tidak ada masalah kerusakan dalam handphone saya. saya tidak suka atas kekurangan aplikasi anda, membuang uang saya hanya karena ini. saya berlangganan dengan uang saya dan ingin mendapatkan hiburan film dari aplikasi anda. tolong diperhatikan hal ini, jangan sampai aplikasi anda mendapatkan respon yang lebih buruk. terimakasih",saya merasakan kurang menikmati penggunaan aplikasi ini ketika saya ingin melihat film ada kendala teknis padahal jaringan saya lancar dan tidak ada masalah kerusakan dalam handphone saya saya tidak suka atas kekurangan aplikasi anda membuang uang saya hanya karena ini saya berlangganan dengan uang saya dan ingin mendapatkan hiburan film dari aplikasi anda tolong diperhatikan hal ini jangan sampai aplikasi anda mendapatkan respon yang lebih buruk terimakasih,"['saya', 'merasakan', 'kurang', 'menikmati', 'penggunaan', 'aplikasi', 'ini', 'ketika', 'saya', 'ingin', 'melihat', 'film', 'ada', 'kendala', 'teknis', 'padahal', 'jaringan', 'saya', 'lancar', 'dan', 'tidak', 'ada', 'masalah', 'kerusakan', 'dalam', 'handphone', 'saya', 'saya', 'tidak', 'suka', 'atas', 'kekurangan', 'aplikasi', 'anda', 'membuang', 'uang', 'saya', 'hanya', 'karena', 'ini', 'saya', 'berlangganan', 'dengan', 'uang', 'saya', 'dan', 'ingin', 'mendapatkan', 'hiburan', 'film', 'dari', 'aplikasi', 'anda', 'tolong', 'diperhatikan', 'hal', 'ini', 'jangan', 'sampai', 'aplikasi', 'anda', 'mendapatkan', 'respon', 'yang', 'lebih', 'buruk', 'terimakasih']","['merasakan', 'menikmati', 'penggunaan', 'aplikasi', 'film', 'kendala', 'teknis', 'jaringan', 'lancar', 'kerusakan', 'handphone', 'suka', 'kekurangan', 'aplikasi', 'membuang', 'uang', 'berlangganan', 'uang', 'hiburan', 'film', 'aplikasi', 'tolong', 'diperhatikan', 'aplikasi', 'respon', 'buruk', 'terimakasih']","['rasa', 'nikmat', 'guna', 'aplikasi', 'film', 'kendala', 'teknis', 'jaring', 'lancar', 'rusa', 'handphone', 'suka', 'kurang', 'aplikasi', 'buang', 'uang', 'langgan', 'uang', 'hibur', 'film', 'aplikasi', 'tolong', 'perhati', 'aplikasi', 'respon', 'buruk', 'terimakasih']",rasa nikmat guna aplikasi film kendala teknis jaring lancar rusa handphone suka kurang aplikasi buang uang langgan uang hibur film aplikasi tolong perhati aplikasi respon buruk terimakasih,Netral
"akunku sudah 10x ganti, tapi tetep tidak May masuk, something wrong, try again in few minute, sudah restart, matiin, hapus cache, banting, bakar celup, tapi tetep gtuuuuu mulu, aku pakai Huawei mate pad 11.5 pro",2,2026-05-16 15:26:17,"akunku sudah 10x ganti, tapi tetep tidak may masuk, something wrong, try again in few minute, sudah restart, matiin, hapus cache, banting, bakar celup, tapi tetep gtuuuuu mulu, aku pakai huawei mate pad 11.5 pro",akunku sudah x ganti tapi tetep tidak may masuk something wrong try again in few minute sudah restart matiin hapus cache banting bakar celup tapi tetep gtuuuuu mulu aku pakai huawei mate pad pro,"['akunku', 'sudah', 'x', 'ganti', 'tapi', 'tetep', 'tidak', 'may', 'masuk', 'something', 'wrong', 'try', 'again', 'in', 'few', 'minute', 'sudah', 'restart', 'matiin', 'hapus', 'cache', 'banting', 'bakar', 'celup', 'tapi', 'tetep', 'gtuuuuu', 'mulu', 'aku', 'pakai', 'huawei', 'mate', 'pad', 'pro']","['akunku', 'x', 'ganti', 'tetep', 'may', 'masuk', 'something', 'wrong', 'try', 'again', 'in', 'few', 'minute', 'restart', 'matiin', 'hapus', 'cache', 'banting', 'bakar', 'celup', 'tetep', 'gtuuuuu', 'mulu', 'pakai', 'huawei', 'mate', 'pad', 'pro']","['akun', 'x', 'ganti', 'tetep', 'may', 'masuk', 'something', 'wrong', 'try', 'again', 'in', 'few', 'mute', 'restart', 'matiin', 'hapus', 'cache', 'banting', 'bakar', 'celup', 'tetep', 'gtuuuuu', 'mulu', 'pakai', 'huawei', 'mate', 'pad', 'pro']",akun x ganti tetep may masuk something wrong try again in few mute restart matiin hapus cache banting bakar celup tetep gtuuuuu mulu pakai huawei mate pad pro,Negatif
suka ke log out sendiri,1,2026-05-16 15:12:24,suka ke log out sendiri,suka ke log out sendiri,"['suka', 'ke', 'log', 'out', 'sendiri']","['suka', 'log', 'out']","['suka', 'log', 'out']",suka log out,Netral
cs nya sangat top😭 terimakasih mba cs 🤍🤍🤍,5,2026-05-16 15:07:46,cs nya sangat top😭 terimakasih mba cs 🤍🤍🤍,cs nya sangat top terimakasih mba cs,"['cs', 'nya', 'sangat', 'top', 'terimakasih', 'mba', 'cs']","['cs', 'nya', 'top', 'terimakasih', 'mba', 'cs']","['cs', 'nya', 'top', 'terimakasih', 'mba', 'cs']",cs nya top terimakasih mba cs,Positif
berapa akun masuk susah haaaaiiiisss,1,2026-05-16 13:50:20,berapa akun masuk susah haaaaiiiisss,berapa akun masuk susah haaaaiiiisss,"['berapa', 'akun', 'masuk', 'susah', 'haaaaiiiisss']","['akun', 'masuk', 'susah', 'haaaaiiiisss']","['akun', 'masuk', 'susah', 'haaaaiiiisss']",akun masuk susah haaaaiiiisss,Netral
lancar,5,2026-05-16 13:22:53,lancar,lancar,['lancar'],['lancar'],['lancar'],lancar,Netral
susah masuk padahal udh bikin beberapa akun tpi ttp aj gbisa bikin akun baru padahal udah pake no telpon jga tpi ttp aj gbisa,1,2026-05-16 12:03:15,susah masuk padahal udh bikin beberapa akun tpi ttp aj gbisa bikin akun baru padahal udah pake no telpon jga tpi ttp aj gbisa,susah masuk padahal udh bikin beberapa akun tpi ttp aj gbisa bikin akun baru padahal udah pake no telpon jga tpi ttp aj gbisa,"['susah', 'masuk', 'padahal', 'udh', 'bikin', 'beberapa', 'akun', 'tpi', 'ttp', 'aj', 'gbisa', 'bikin', 'akun', 'baru', 'padahal', 'udah', 'pake', 'no', 'telpon', 'jga', 'tpi', 'ttp', 'aj', 'gbisa']","['susah', 'masuk', 'udh', 'bikin', 'akun', 'tpi', 'ttp', 'aj', 'gbisa', 'bikin', 'akun', 'udah', 'pake', 'no', 'telpon', 'jga', 'tpi', 'ttp', 'aj', 'gbisa']","['susah', 'masuk', 'udh', 'bikin', 'akun', 'tpi', 'ttp', 'aj', 'gbisa', 'bikin', 'akun', 'udah', 'pake', 'no', 'telpon', 'jga', 'tpi', 'ttp', 'aj', 'gbisa']",susah masuk udh bikin akun tpi ttp aj gbisa bikin akun udah pake no telpon jga tpi ttp aj gbisa,Netral
"woii kenapa ya gbisa login di tablet, udh perhatiin versi aplikasi ttp gbsa di putat Vidio nya.",1,2026-05-16 11:07:52,"woii kenapa ya gbisa login di tablet, udh perhatiin versi aplikasi ttp gbsa di putat vidio nya.",woii kenapa ya gbisa login di tablet udh perhatiin versi aplikasi ttp gbsa di putat vidio nya,"['woii', 'kenapa', 'ya', 'gbisa', 'login', 'di', 'tablet', 'udh', 'perhatiin', 'versi', 'aplikasi', 'ttp', 'gbsa', 'di', 'putat', 'vidio', 'nya']","['woii', 'ya', 'gbisa', 'login', 'tablet', 'udh', 'perhatiin', 'versi', 'aplikasi', 'ttp', 'gbsa', 'putat', 'vidio', 'nya']","['woii', 'ya', 'gbisa', 'login', 'tablet', 'udh', 'perhatiin', 'versi', 'aplikasi', 'ttp', 'gbsa', 'putat', 'vidio', 'nya']",woii ya gbisa login tablet udh perhatiin versi aplikasi ttp gbsa putat vidio nya,Netral
apk tert*l*l yang pernah saya lihat saya sudah bayar tapi yang dapat kualitas buruk seperti saya gk bisa nonton karena ada yang memakai akun gw terus nonton keluar sendiri gk jelas pokoknya tolong perbaiki jangan diam saja!!!!!!!!,1,2026-05-16 11:05:48,apk tert*l*l yang pernah saya lihat saya sudah bayar tapi yang dapat kualitas buruk seperti saya gk bisa nonton karena ada yang memakai akun gw terus nonton keluar sendiri gk jelas pokoknya tolong perbaiki jangan diam saja!!!!!!!!,apk tertll yang pernah saya lihat saya sudah bayar tapi yang dapat kualitas buruk seperti saya gk bisa nonton karena ada yang memakai akun gw terus nonton keluar sendiri gk jelas pokoknya tolong perbaiki jangan diam saja,"['apk', 'tertll', 'yang', 'pernah', 'saya', 'lihat', 'saya', 'sudah', 'bayar', 'tapi', 'yang', 'dapat', 'kualitas', 'buruk', 'seperti', 'saya', 'gk', 'bisa', 'nonton', 'karena', 'ada', 'yang', 'memakai', 'akun', 'gw', 'terus', 'nonton', 'keluar', 'sendiri', 'gk', 'jelas', 'pokoknya', 'tolong', 'perbaiki', 'jangan', 'diam', 'saja']","['apk', 'tertll', 'lihat', 'bayar', 'kualitas', 'buruk', 'gk', 'nonton', 'memakai', 'akun', 'gw', 'nonton', 'gk', 'pokoknya', 'tolong', 'perbaiki', 'diam']","['apk', 'tertll', 'lihat', 'bayar', 'kualitas', 'buruk', 'gk', 'nonton', 'pakai', 'akun', 'gw', 'nonton', 'gk', 'pokok', 'tolong', 'baik', 'diam']",apk tertll lihat bayar kualitas buruk gk nonton pakai akun gw nonton gk pokok tolong baik diam,Netral
"suka keluar akun sendiri deh, jadi kesel. kayak aplikasi ilegal jdnya",1,2026-05-16 10:31:18,"suka keluar akun sendiri deh, jadi kesel. kayak aplikasi ilegal jdnya",suka keluar akun sendiri deh jadi kesel kayak aplikasi ilegal jdnya,"['suka', 'keluar', 'akun', 'sendiri', 'deh', 'jadi', 'kesel', 'kayak', 'aplikasi', 'ilegal', 'jdnya']","['suka', 'akun', 'deh', 'kesel', 'kayak', 'aplikasi', 'ilegal', 'jdnya']","['suka', 'akun', 'deh', 'kesel', 'kayak', 'aplikasi', 'ilegal', 'jdnya']",suka akun deh kesel kayak aplikasi ilegal jdnya,Netral
mudah digunakan,5,2026-05-16 10:29:21,mudah digunakan,mudah digunakan,"['mudah', 'digunakan']",['mudah'],['mudah'],mudah,Netral
gimana sih padahal udah langganan sebulan belum juga sebulan udah gak bisa dipakai suruh bayar lagi,1,2026-05-16 08:28:59,gimana sih padahal udah langganan sebulan belum juga sebulan udah gak bisa dipakai suruh bayar lagi,gimana sih padahal udah langganan sebulan belum juga sebulan udah gak bisa dipakai suruh bayar lagi,"['gimana', 'sih', 'padahal', 'udah', 'langganan', 'sebulan', 'belum', 'juga', 'sebulan', 'udah', 'gak', 'bisa', 'dipakai', 'suruh', 'bayar', 'lagi']","['gimana', 'sih', 'udah', 'langganan', 'sebulan', 'sebulan', 'udah', 'gak', 'dipakai', 'suruh', 'bayar']","['gimana', 'sih', 'udah', 'langgan', 'bulan', 'bulan', 'udah', 'gak', 'pakai', 'suruh', 'bayar']",gimana sih udah langgan bulan bulan udah gak pakai suruh bayar,Netral
mohon bantuannya aya tidak bisa download aplikasi netflix di tv,5,2026-05-16 08:09:27,mohon bantuannya aya tidak bisa download aplikasi netflix di tv,mohon bantuannya aya tidak bisa download aplikasi netflix di tv,"['mohon', 'bantuannya', 'aya', 'tidak', 'bisa', 'download', 'aplikasi', 'netflix', 'di', 'tv']","['mohon', 'bantuannya', 'aya', 'download', 'aplikasi', 'netflix', 'tv']","['mohon', 'bantu', 'aya', 'download', 'aplikasi', 'netflix', 'tv']",mohon bantu aya download aplikasi netflix tv,Netral
"gak bisa login dari kemarin, disuruh nunggu beberapa menit terus",1,2026-05-16 07:48:51,"gak bisa login dari kemarin, disuruh nunggu beberapa menit terus",gak bisa login dari kemarin disuruh nunggu beberapa menit terus,"['gak', 'bisa', 'login', 'dari', 'kemarin', 'disuruh', 'nunggu', 'beberapa', 'menit', 'terus']","['gak', 'login', 'kemarin', 'disuruh', 'nunggu', 'menit']","['gak', 'login', 'kemarin', 'suruh', 'nunggu', 'menit']",gak login kemarin suruh nunggu menit,Netral
kenapa jadi gak bisa nonton ya. aplikasi Ter bapuk tahun 2026,1,2026-05-16 07:22:35,kenapa jadi gak bisa nonton ya. aplikasi ter bapuk tahun 2026,kenapa jadi gak bisa nonton ya aplikasi ter bapuk tahun,"['kenapa', 'jadi', 'gak', 'bisa', 'nonton', 'ya', 'aplikasi', 'ter', 'bapuk', 'tahun']","['gak', 'nonton', 'ya', 'aplikasi', 'ter', 'bapuk']","['gak', 'nonton', 'ya', 'aplikasi', 'ter', 'bapuk']",gak nonton ya aplikasi ter bapuk,Netral
"Suka banget nonton series netflix, apalagi k-drama beuhh 🔥🔥",5,2026-05-16 04:25:05,"suka banget nonton series netflix, apalagi k-drama beuhh 🔥🔥",suka banget nonton series netflix apalagi kdrama beuhh,"['suka', 'banget', 'nonton', 'series', 'netflix', 'apalagi', 'kdrama', 'beuhh']","['suka', 'banget', 'nonton', 'series', 'netflix', 'kdrama', 'beuhh']","['suka', 'banget', 'nonton', 'series', 'netflix', 'kdrama', 'beuhh']",suka banget nonton series netflix kdrama beuhh,Netral
Mau daftar aja harus bayar dulu,2,2026-05-16 03:37:57,mau daftar aja harus bayar dulu,mau daftar aja harus bayar dulu,"['mau', 'daftar', 'aja', 'harus', 'bayar', 'dulu']","['daftar', 'aja', 'bayar']","['daftar', 'aja', 'bayar']",daftar aja bayar,Netral
ok,5,2026-05-16 03:09:20,ok,ok,['ok'],['ok'],['ok'],ok,Positif
baik,5,2026-05-15 23:59:01,baik,baik,['baik'],[],[],,Netral
"awal berlangganan lancar jaya semua video.. Mei ini banyak sekali film yang tidak bisa di play, muter-loading lama ga jelas banget.. apalah ini netflix, pls fix it",1,2026-05-15 23:57:32,"awal berlangganan lancar jaya semua video.. mei ini banyak sekali film yang tidak bisa di play, muter-loading lama ga jelas banget.. apalah ini netflix, pls fix it",awal berlangganan lancar jaya semua video mei ini banyak sekali film yang tidak bisa di play muterloading lama ga jelas banget apalah ini netflix pls fix it,"['awal', 'berlangganan', 'lancar', 'jaya', 'semua', 'video', 'mei', 'ini', 'banyak', 'sekali', 'film', 'yang', 'tidak', 'bisa', 'di', 'play', 'muterloading', 'lama', 'ga', 'jelas', 'banget', 'apalah', 'ini', 'netflix', 'pls', 'fix', 'it']","['berlangganan', 'lancar', 'jaya', 'video', 'mei', 'film', 'play', 'muterloading', 'ga', 'banget', 'apalah', 'netflix', 'pls', 'fix', 'it']","['langgan', 'lancar', 'jaya', 'video', 'mei', 'film', 'play', 'muterloading', 'ga', 'banget', 'apa', 'netflix', 'pls', 'fix', 'it']",langgan lancar jaya video mei film play muterloading ga banget apa netflix pls fix it,Netral
"serius an ini?,masa baru login udh disuruh bayar 😂",1,2026-05-15 23:46:06,"serius an ini?,masa baru login udh disuruh bayar 😂",serius an inimasa baru login udh disuruh bayar,"['serius', 'an', 'inimasa', 'baru', 'login', 'udh', 'disuruh', 'bayar']","['serius', 'an', 'inimasa', 'login', 'udh', 'disuruh', 'bayar']","['serius', 'an', 'inimasa', 'login', 'udh', 'suruh', 'bayar']",serius an inimasa login udh suruh bayar,Netral
"mending mikir dua kali kalo mau ambil paketny , gw ambil paket yg paling mahal , kebanyakan gk bisa dibuka , cuma layar item muter2 doang , padahal jaringan wifi 100 mbps",1,2026-05-15 22:10:55,"mending mikir dua kali kalo mau ambil paketny , gw ambil paket yg paling mahal , kebanyakan gk bisa dibuka , cuma layar item muter2 doang , padahal jaringan wifi 100 mbps",mending mikir dua kali kalo mau ambil paketny gw ambil paket yg paling mahal kebanyakan gk bisa dibuka cuma layar item muter doang padahal jaringan wifi mbps,"['mending', 'mikir', 'dua', 'kali', 'kalo', 'mau', 'ambil', 'paketny', 'gw', 'ambil', 'paket', 'yg', 'paling', 'mahal', 'kebanyakan', 'gk', 'bisa', 'dibuka', 'cuma', 'layar', 'item', 'muter', 'doang', 'padahal', 'jaringan', 'wifi', 'mbps']","['mending', 'mikir', 'kali', 'kalo', 'ambil', 'paketny', 'gw', 'ambil', 'paket', 'yg', 'mahal', 'kebanyakan', 'gk', 'dibuka', 'layar', 'item', 'muter', 'doang', 'jaringan', 'wifi', 'mbps']","['mending', 'mikir', 'kali', 'kalo', 'ambil', 'paketny', 'gw', 'ambil', 'paket', 'yg', 'mahal', 'banyak', 'gk', 'buka', 'layar', 'item', 'muter', 'doang', 'jaring', 'wifi', 'mbps']",mending mikir kali kalo ambil paketny gw ambil paket yg mahal banyak gk buka layar item muter doang jaring wifi mbps,Netral
anj lah pokoknya apknya,1,2026-05-15 20:02:56,anj lah pokoknya apknya,anj lah pokoknya apknya,"['anj', 'lah', 'pokoknya', 'apknya']","['anj', 'pokoknya', 'apknya']","['anj', 'pokok', 'apknya']",anj pokok apknya,Netral
film nya kurang lengkap,1,2026-05-15 19:41:42,film nya kurang lengkap,film nya kurang lengkap,"['film', 'nya', 'kurang', 'lengkap']","['film', 'nya', 'lengkap']","['film', 'nya', 'lengkap']",film nya lengkap,Netral
"aplikasi jelek, sudah tidak berlanganan masih di potong uang di aplikasi dana saya. nyesel pake netflix",1,2026-05-15 18:35:00,"aplikasi jelek, sudah tidak berlanganan masih di potong uang di aplikasi dana saya. nyesel pake netflix",aplikasi jelek sudah tidak berlanganan masih di potong uang di aplikasi dana saya nyesel pake netflix,"['aplikasi', 'jelek', 'sudah', 'tidak', 'berlanganan', 'masih', 'di', 'potong', 'uang', 'di', 'aplikasi', 'dana', 'saya', 'nyesel', 'pake', 'netflix']","['aplikasi', 'jelek', 'berlanganan', 'potong', 'uang', 'aplikasi', 'dana', 'nyesel', 'pake', 'netflix']","['aplikasi', 'jelek', 'berlanganan', 'potong', 'uang', 'aplikasi', 'dana', 'nyesel', 'pake', 'netflix']",aplikasi jelek berlanganan potong uang aplikasi dana nyesel pake netflix,Netral
Sebenarnya banyak film yg mau ditonton tapi tiap bulan belum tentu bisa bayar rutin,5,2026-05-15 18:22:27,sebenarnya banyak film yg mau ditonton tapi tiap bulan belum tentu bisa bayar rutin,sebenarnya banyak film yg mau ditonton tapi tiap bulan belum tentu bisa bayar rutin,"['sebenarnya', 'banyak', 'film', 'yg', 'mau', 'ditonton', 'tapi', 'tiap', 'bulan', 'belum', 'tentu', 'bisa', 'bayar', 'rutin']","['film', 'yg', 'ditonton', 'bayar', 'rutin']","['film', 'yg', 'tonton', 'bayar', 'rutin']",film yg tonton bayar rutin,Netral
"Sudah muak banget pakai nih aplikasi. Kata sandi salah lah, terjadi kesalahan lah, coba lagi beberapa menit lah.",1,2026-05-15 16:54:05,"sudah muak banget pakai nih aplikasi. kata sandi salah lah, terjadi kesalahan lah, coba lagi beberapa menit lah.",sudah muak banget pakai nih aplikasi kata sandi salah lah terjadi kesalahan lah coba lagi beberapa menit lah,"['sudah', 'muak', 'banget', 'pakai', 'nih', 'aplikasi', 'kata', 'sandi', 'salah', 'lah', 'terjadi', 'kesalahan', 'lah', 'coba', 'lagi', 'beberapa', 'menit', 'lah']","['muak', 'banget', 'pakai', 'nih', 'aplikasi', 'sandi', 'salah', 'kesalahan', 'coba', 'menit']","['muak', 'banget', 'pakai', 'nih', 'aplikasi', 'sandi', 'salah', 'salah', 'coba', 'menit']",muak banget pakai nih aplikasi sandi salah salah coba menit,Netral
"Ranting 3,5. masih banyak tingkah, banyak game dijadiin Netflix alhasil systemnya bobrok.. mau duit naikin tuh performa! kocak",5,2026-05-15 16:13:12,"ranting 3,5. masih banyak tingkah, banyak game dijadiin netflix alhasil systemnya bobrok.. mau duit naikin tuh performa! kocak",ranting masih banyak tingkah banyak game dijadiin netflix alhasil systemnya bobrok mau duit naikin tuh performa kocak,"['ranting', 'masih', 'banyak', 'tingkah', 'banyak', 'game', 'dijadiin', 'netflix', 'alhasil', 'systemnya', 'bobrok', 'mau', 'duit', 'naikin', 'tuh', 'performa', 'kocak']","['ranting', 'tingkah', 'game', 'dijadiin', 'netflix', 'alhasil', 'systemnya', 'bobrok', 'duit', 'naikin', 'tuh', 'performa', 'kocak']","['ranting', 'tingkah', 'game', 'dijadiin', 'netflix', 'alhasil', 'systemnya', 'bobrok', 'duit', 'naikin', 'tuh', 'performa', 'kocak']",ranting tingkah game dijadiin netflix alhasil systemnya bobrok duit naikin tuh performa kocak,Negatif
"sering error padahal udah berlangganan, setiap mau login selalu dibuat susah terus aneh banget bad bad bad, perbaikin lagi kualitasnya donggggg",1,2026-05-15 15:52:22,"sering error padahal udah berlangganan, setiap mau login selalu dibuat susah terus aneh banget bad bad bad, perbaikin lagi kualitasnya donggggg",sering error padahal udah berlangganan setiap mau login selalu dibuat susah terus aneh banget bad bad bad perbaikin lagi kualitasnya donggggg,"['sering', 'error', 'padahal', 'udah', 'berlangganan', 'setiap', 'mau', 'login', 'selalu', 'dibuat', 'susah', 'terus', 'aneh', 'banget', 'bad', 'bad', 'bad', 'perbaikin', 'lagi', 'kualitasnya', 'donggggg']","['error', 'udah', 'berlangganan', 'login', 'susah', 'aneh', 'banget', 'bad', 'bad', 'bad', 'perbaikin', 'kualitasnya', 'donggggg']","['error', 'udah', 'langgan', 'login', 'susah', 'aneh', 'banget', 'bad', 'bad', 'bad', 'perbaikin', 'kualitas', 'donggggg']",error udah langgan login susah aneh banget bad bad bad perbaikin kualitas donggggg,Negatif
"not supporting my devices, removed and stop my subscription",1,2026-05-15 15:18:08,"not supporting my devices, removed and stop my subscription",not supporting my devices removed and stop my subscription,"['not', 'supporting', 'my', 'devices', 'removed', 'and', 'stop', 'my', 'subscription']","['not', 'supporting', 'my', 'devices', 'removed', 'and', 'stop', 'my', 'subscription']","['not', 'supporting', 'my', 'devices', 'removed', 'and', 'stop', 'my', 'subscription']",not supporting my devices removed and stop my subscription,Negatif
"If you want to watch movies, choose this app. it's higly recommend.",5,2026-05-15 11:01:22,"if you want to watch movies, choose this app. it's higly recommend.",if you want to watch movies choose this app its higly recommend,"['if', 'you', 'want', 'to', 'watch', 'movies', 'choose', 'this', 'app', 'its', 'higly', 'recommend']","['if', 'you', 'want', 'to', 'watch', 'movies', 'choose', 'this', 'app', 'its', 'higly', 'recommend']","['if', 'you', 'want', 'to', 'watch', 'movies', 'choose', 'this', 'app', 'its', 'higly', 'recommend']",if you want to watch movies choose this app its higly recommend,Netral
"Banyak ternyata pengguna dengan error yg sama, ngestuck di awal pemutaran, ada epidode yg error sedangkan yg lain bisa, mau di download sekalipun tetap ga jalan. udah bayar malah ga bisa ditonton",3,2026-05-15 10:44:00,"banyak ternyata pengguna dengan error yg sama, ngestuck di awal pemutaran, ada epidode yg error sedangkan yg lain bisa, mau di download sekalipun tetap ga jalan. udah bayar malah ga bisa ditonton",banyak ternyata pengguna dengan error yg sama ngestuck di awal pemutaran ada epidode yg error sedangkan yg lain bisa mau di download sekalipun tetap ga jalan udah bayar malah ga bisa ditonton,"['banyak', 'ternyata', 'pengguna', 'dengan', 'error', 'yg', 'sama', 'ngestuck', 'di', 'awal', 'pemutaran', 'ada', 'epidode', 'yg', 'error', 'sedangkan', 'yg', 'lain', 'bisa', 'mau', 'di', 'download', 'sekalipun', 'tetap', 'ga', 'jalan', 'udah', 'bayar', 'malah', 'ga', 'bisa', 'ditonton']","['pengguna', 'error', 'yg', 'ngestuck', 'pemutaran', 'epidode', 'yg', 'error', 'yg', 'download', 'ga', 'jalan', 'udah', 'bayar', 'ga', 'ditonton']","['guna', 'error', 'yg', 'ngestuck', 'putar', 'epidode', 'yg', 'error', 'yg', 'download', 'ga', 'jalan', 'udah', 'bayar', 'ga', 'tonton']",guna error yg ngestuck putar epidode yg error yg download ga jalan udah bayar ga tonton,Netral
"ribet harus daftar ,daftar nya pun sulit",1,2026-05-15 08:05:56,"ribet harus daftar ,daftar nya pun sulit",ribet harus daftar daftar nya pun sulit,"['ribet', 'harus', 'daftar', 'daftar', 'nya', 'pun', 'sulit']","['ribet', 'daftar', 'daftar', 'nya', 'sulit']","['ribet', 'daftar', 'daftar', 'nya', 'sulit']",ribet daftar daftar nya sulit,Netral
APPLIKASI SAMPAH LOGIN PAKE NOMOR HP SUSAH,5,2026-05-15 07:09:11,applikasi sampah login pake nomor hp susah,applikasi sampah login pake nomor hp susah,"['applikasi', 'sampah', 'login', 'pake', 'nomor', 'hp', 'susah']","['applikasi', 'sampah', 'login', 'pake', 'nomor', 'hp', 'susah']","['applikasi', 'sampah', 'login', 'pake', 'nomor', 'hp', 'susah']",applikasi sampah login pake nomor hp susah,Netral
terlalu buruk untuk di download karna apk ini sangatlah burik,1,2026-05-15 06:59:11,terlalu buruk untuk di download karna apk ini sangatlah burik,terlalu buruk untuk di download karna apk ini sangatlah burik,"['terlalu', 'buruk', 'untuk', 'di', 'download', 'karna', 'apk', 'ini', 'sangatlah', 'burik']","['buruk', 'download', 'karna', 'apk', 'burik']","['buruk', 'download', 'karna', 'apk', 'burik']",buruk download karna apk burik,Netral
